month,agent,A_prev,A_curr,labor_net,transfer,consumption,W_resources,residual,viol_C_neg,viol_C_gt_W,viol_resid
1,0,3257.3132804788956,3257.3132804788956,362.44740764788327,0.0,3257.3132804788956,3619.760688126779,-2894.8658728310124,0.0,0.0,1.0
2,0,3257.3132804788956,2169.4811072444354,360.7269495222553,0.0,6870.023506274045,3618.040230001151,-5421.464383517329,0.0,1.0,1.0
3,0,2169.4811072444354,2324.1958755073874,0.0,0.0,5423.123709517239,2169.4811072444354,-5577.838477780191,0.0,1.0,1.0
4,0,2324.1958755073874,1430.3421592901113,0.0,0.0,5721.368637160449,2324.1958755073874,-4827.514920943173,0.0,1.0,1.0
5,0,1430.3421592901113,1560.2713629880573,359.53215165415975,0.0,4940.859316128847,1789.8743109442712,-4711.256368172633,0.0,1.0,1.0
6,0,1560.2713629880573,1972.5326646814765,0.0,0.0,4602.576217590114,1560.2713629880573,-5014.837519283533,0.0,1.0,1.0
7,0,1972.5326646814765,1395.9149999230276,359.57555222151643,0.0,5583.65999969211,2332.108216902993,-4647.466782712145,0.0,1.0,1.0
8,0,1395.9149999230276,1696.3359933208267,359.3711022477062,0.0,4828.033211759274,1755.2861021707338,-4769.083102909367,0.0,1.0,1.0
9,0,1696.3359933208267,1593.1475931898258,358.5818042045568,0.0,5044.967378434448,2054.9177975253833,-4583.19717409889,0.0,1.0,1.0
10,0,1593.1475931898258,1869.1432767535734,358.08752022940155,0.0,4361.334312425006,1951.2351134192272,-4279.242475759353,0.0,1.0,1.0
11,0,1869.1432767535734,2185.293764328728,0.0,0.0,5099.018783433698,1869.1432767535734,-5415.169271008853,0.0,1.0,1.0
12,0,2185.293764328728,1548.492953235169,359.2383607238156,0.0,6013.5648669326965,2544.5321250525435,-5017.525695115322,0.0,1.0,1.0
13,0,1548.492953235169,2155.0459955657334,359.4577722861429,0.0,5028.440656320047,1907.9507255213118,-5275.535926364469,0.0,1.0,1.0
14,0,2155.0459955657334,2251.597922976938,361.3378942802909,0.0,5789.823230512127,2516.3838898460244,-5525.037263643041,0.0,1.0,1.0
15,0,2251.597922976938,2462.5057990553396,361.45189445015325,0.0,5745.846864462461,2613.0498174270915,-5595.302846090709,0.0,1.0,1.0
16,0,2462.5057990553396,3021.6149374738725,363.9582022904723,0.0,5371.75988884244,2826.464001345812,-5566.9108249705005,0.0,1.0,1.0
17,0,3021.6149374738725,2773.0250112730355,364.92844356969624,0.0,5892.678148955201,3386.543381043569,-5279.159779184668,0.0,1.0,1.0
18,0,2773.0250112730355,8967.827795167683,0.0,0.0,0.0,2773.0250112730355,-6194.802783894647,0.0,0.0,1.0
