month,agent,A_prev,A_curr,labor_net,transfer,consumption,W_resources,residual,interest_rate,total_income,check_identity,viol_C_neg,viol_C_gt_W,viol_resid
1,0,374.398930198518,374.398930198518,0.0,0.0,405.59884104839455,374.398930198518,-405.59884104839455,0.0,0.0,-405.59884104839455,0.0,1.0,1.0
2,0,374.398930198518,5960.330065427857,4468.862093470668,0.0,3352.6856618031693,4843.261023669185,-4469.754703561841,0.0,4468.862093470668,-4469.754703561841,0.0,0.0,1.0
3,0,5960.330065427857,6432.482547589903,0.0,0.0,1814.2899493202292,5960.330065427857,-2286.4424314822754,0.0,0.0,-2286.4424314822754,0.0,0.0,1.0
4,0,6432.482547589903,11502.685151580568,4177.761384885917,0.0,1000.2334914417885,10610.24393247582,-1892.6747105465365,0.0,4177.761384885917,-1892.6747105465365,0.0,0.0,1.0
5,0,11502.685151580568,14621.136996149487,0.0,0.0,933.2640635840097,11502.685151580568,-4051.715908152928,0.0,0.0,-4051.715908152928,0.0,0.0,1.0
6,0,14621.136996149487,9842.562617968357,0.0,0.0,9842.562617968357,14621.136996149487,-5063.988239787226,0.0,0.0,-5063.988239787226,0.0,0.0,1.0
7,0,9842.562617968357,3887.6411899495906,4110.496111680369,0.0,9996.791631298947,13953.058729648725,68.62590840018674,0.0,4110.496111680369,68.62590840018674,0.0,0.0,1.0
8,0,3887.6411899495906,8458.345768845593,4106.169844868583,0.0,1153.4107866607626,7993.8110348181735,-1617.9455206881821,0.0,4106.169844868583,-1617.9455206881821,0.0,0.0,1.0
9,0,8458.345768845593,14291.03954840518,4018.6869057773415,0.0,2722.102771124796,12477.032674622935,-4536.109644907043,0.0,4018.6869057773415,-4536.109644907043,0.0,0.0,1.0
10,0,14291.03954840518,4980.45967321307,0.0,0.0,12806.896302547895,14291.03954840518,-3496.316427355785,0.0,0.0,-3496.316427355785,0.0,0.0,1.0
1,1,311.99910849876505,311.99910849876505,0.0,0.0,467.99866274814747,311.99910849876505,-467.99866274814747,0.0,0.0,-467.99866274814747,0.0,1.0,1.0
2,1,311.99910849876505,1298.548461344537,0.0,0.0,4112.070127591032,311.99910849876505,-5098.619480436804,0.0,0.0,-5098.619480436804,0.0,1.0,1.0
3,1,1298.548461344537,788.697996421899,0.0,0.0,2796.2928964049142,1298.548461344537,-2286.4424314822763,0.0,0.0,-2286.4424314822763,0.0,1.0,1.0
4,1,788.697996421899,2002.8699124302814,0.0,0.0,1126.6143257420333,788.697996421899,-2340.7862417504157,0.0,0.0,-2340.7862417504157,0.0,1.0,1.0
5,1,2002.8699124302814,2664.0177610566116,0.0,0.0,3390.5680595265976,2002.8699124302814,-4051.715908152928,0.0,0.0,-4051.715908152928,0.0,1.0,1.0
6,1,2664.0177610566116,10182.284772273073,9480.103621924047,0.0,5245.419428140675,12144.121382980658,-3283.58281743309,0.0,9480.103621924047,-3283.58281743309,0.0,0.0,1.0
7,1,10182.284772273073,11739.853421174805,9342.579908309772,0.0,6603.667549410828,19524.864680582847,1181.3437099972143,0.0,9342.579908309772,1181.3437099972143,0.0,0.0,1.0
8,1,11739.853421174805,8904.100364557366,0.0,0.0,5008.556455063517,11739.853421174805,-2172.803398446078,0.0,0.0,-2172.803398446078,0.0,0.0,1.0
9,1,8904.100364557366,2576.2950395556763,9251.521469614,0.0,18892.83029007495,18155.621834171365,-3313.503495459263,0.0,9251.521469614,-3313.503495459263,0.0,1.0,1.0
10,1,2576.2950395556763,7338.1821032617745,9229.074251369291,0.0,6251.04401388966,11805.369290924968,-1783.856826226467,0.0,9229.074251369291,-1783.856826226467,0.0,0.0,1.0
1,2,10586.149244185388,10586.149244185388,17037.233848126227,0.0,3342.994498163807,27623.383092311615,13694.23934996242,0.0,17037.233848126227,13694.23934996242,0.0,0.0,1.0
2,2,10586.149244185388,6901.298238833764,0.0,0.0,8783.470485788428,10586.149244185388,-5098.619480436804,0.0,0.0,-5098.619480436804,0.0,0.0,1.0
3,2,6901.298238833764,15091.734205044875,16640.357982791964,0.0,7101.992567079942,23541.65622162573,1347.9294495009126,0.0,16640.357982791964,1347.9294495009126,0.0,0.0,1.0
4,2,15091.734205044875,29698.823764258617,16057.024215530028,0.0,606.0984441685432,31148.7584205749,843.8362121477403,0.0,16057.024215530028,843.8362121477403,0.0,0.0,1.0
